running_id,participant_id,code,payoff,tr,PQ1,PQ2,PQ3,PQ4,PQ6,PQ7,PQ8,PQ9,PQ10,IMC,age,gender,education,work_status,comp_skill,forecasting_skill,similar_exp,time_inst,time_total,tinst_ttot,a,b,running_id,page,round,test_round,AI_forecast,human_forecast,selected_forecast,select_human,selected_quant,guidance_followed,pos_dir,large_mag,sort,sort_num,demand,adjustment,value,min_devtomean,dev_to_mean,h_AI_samedev,closer_to_mean,h_closer_tomean,adj_vs_mean,adj_vs_AI,earlier_rounds,later_rounds,directly_after_feedback
38,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,38,4,30,0,14,16,AI,0,14,1,1,0,D<AI<H,1,10,2,0,4,4,0,1,0,0.2,0.142857143,0,0,0
39,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,39,4,31,0,6,7,AI,0,6,1,1,0,AI<H<D,10,18,1,1,3,4,0,0,1,0.1,0.166666667,0,0,0
40,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,40,4,32,0,26,20,Human,1,20,1,0,1,D<H<AI,2,10,-6,1,10,10,0,1,1,0.6,0.230769231,0,0,0
41,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,41,5,33,0,10,12,AI,0,10,1,1,0,D=AI<H,4,19,2,1,0,0,0,1,0,0.2,0.2,0,0,1
42,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,42,5,34,0,17,15,Human,1,15,1,0,0,D<H<AI,2,19,-2,0,5,5,0,1,1,0.2,0.117647059,0,0,0
43,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,43,5,35,0,6,2,AI,0,6,0,0,0,H<AI<D,7,10,-4,0,4,4,0,1,0,0.4,0.666666667,0,0,0
44,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,44,5,36,0,8,15,AI,0,8,1,1,1,AI<D<H,3,7,7,0,2,2,0,1,0,0.7,0.875,0,0,0
45,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,45,5,37,0,12,23,AI,0,12,1,1,1,D<AI<H,1,13,11,0,2,2,0,1,0,1.1,0.916666667,0,0,0
46,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,46,5,38,0,19,11,Human,1,11,1,0,1,D<H<AI,2,9,-8,1,1,1,0,1,1,0.8,0.421052632,0,0,0
47,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,47,5,39,0,8,11,AI,0,8,1,1,0,AI<D<H,3,7,3,0,1,2,0,0,1,0.3,0.375,0,0,0
